NORAD_CAT_ID,OBJECT_NAME,OBJECT_ID,EPOCH,CREATION_DATE,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SEMIMAJOR_AXIS,PERIOD,BSTAR,DECAY_DATE,TLE_LINE1,TLE_LINE2,ELEMENT_SET_NO
56361,STARLINK-5550,2023-058AW,2026-07-26T05:48:36.379872,2026-07-26T10:36:54,97.2839,204.1788,0.00021397,88.9004,271.2469,15.05646354,6927.659,95.640,0.00000065494200,,1 56361U 23058AW  26207.24208773 -.00000047  00000-0  65494-6 0  9995,2 56361  97.2839 204.1788 0002140  88.9004 271.2469 15.05646354178979,999
56362,STARLINK-5972,2023-058AX,2026-07-26T05:38:33.866016,2026-07-26T10:36:54,97.2838,205.2558,0.00021493,94.1768,265.9705,15.05655109,6927.632,95.639,0.00001265287300,,1 56362U 23058AX  26207.23511419  .00000126  00000-0  12653-4 0  9993,2 56362  97.2838 205.2558 0002149  94.1768 265.9705 15.05655109179041,999
56374,STARLINK-6156,2023-061A,2026-07-26T05:40:14.619648,2026-07-26T10:36:54,43.0044,135.8853,0.00007976,226.1859,133.8926,15.27579392,6861.188,94.267,-0.00002481789000,,1 56374U 23061A   26207.23628032 -.00000945  00000-0 -24818-4 0  9997,2 56374  43.0044 135.8853 0000798 226.1859 133.8926 15.27579392179034,999
56375,STARLINK-6158,2023-061B,2026-07-26T04:33:37.402272,2026-07-26T10:36:54,43.0048,135.5434,0.00023751,229.1718,130.8928,15.27594431,6861.143,94.266,-0.00021458472000,,1 56375U 23061B   26207.19001623 -.00006166  00000-0 -21458-3 0  9991,2 56375  43.0048 135.5434 0002375 229.1718 130.8928 15.27594431177938,999
56376,STARLINK-6188,2023-061C,2026-07-26T02:44:40.293600,2026-07-26T10:36:54,43.0018,135.8348,0.00006688,310.8478,49.2315,15.27582794,6861.178,94.267,-0.00004913939400,,1 56376U 23061C   26207.11435525 -.00001614  00000-0 -49139-4 0  9996,2 56376  43.0018 135.8348 0000669 310.8478  49.2315 15.27582794177929,999
56377,STARLINK-6189,2023-061D,2026-07-26T04:15:20.599200,2026-07-26T10:36:54,43.0020,136.3000,0.00008531,273.1109,86.9645,15.27570959,6861.213,94.267,-0.00000564182200,,1 56377U 23061D   26207.17732175 -.00000417  00000-0 -56418-5 0  9993,2 56377  43.0020 136.3000 0000853 273.1109  86.9645 15.27570959177925,999
56378,STARLINK-6191,2023-061E,2026-07-26T04:28:06.733920,2026-07-26T10:36:54,43.0047,135.5094,0.00010502,279.1536,80.9197,15.27555694,6861.259,94.268,-0.00005995387000,,1 56378U 23061E   26207.18618905 -.00001910  00000-0 -59954-4 0  9995,2 56378  43.0047 135.5094 0001050 279.1536  80.9197 15.27555694177935,999
56379,STARLINK-6157,2023-061F,2026-07-26T04:37:19.903872,2026-07-26T10:36:54,43.0053,135.5664,0.00015116,273.5841,86.4838,15.27574947,6861.201,94.267,0.00000682699300,,1 56379U 23061F   26207.19259148 -.00000074  00000-0  68270-5 0  9998,2 56379  43.0053 135.5664 0001512 273.5841  86.4838 15.27574947179034,999
56381,STARLINK-6159,2023-061H,2026-07-26T03:53:09.853440,2026-07-26T10:36:54,43.0012,136.1832,0.00007362,282.8211,77.2559,15.27566181,6861.227,94.268,-0.00000546152200,,1 56381U 23061H   26207.16191960 -.00000412  00000-0 -54615-5 0  9990,2 56381  43.0012 136.1832 0000736 282.8211  77.2559 15.27566181177922,999
56382,STARLINK-6160,2023-061J,2026-07-26T05:19:53.721120,2026-07-26T10:36:54,43.0013,135.7748,0.00008362,260.0433,100.0324,15.27572062,6861.210,94.267,-0.00000316929200,,1 56382U 23061J   26207.22214955 -.00000349  00000-0 -31693-5 0  9998,2 56382  43.0013 135.7748 0000836 260.0433 100.0324 15.27572062177931,999
