case_id,epoch_s,timestamp_utc,frame,x_truth_m,y_truth_m,z_truth_m,vx_truth_mps,vy_truth_mps,vz_truth_mps,x_phys_m,y_phys_m,z_phys_m,vx_phys_mps,vy_phys_mps,vz_phys_mps,dx_m,dy_m,dz_m,position_error_m,dvx_mps,dvy_mps,dvz_mps,velocity_error_mps,aR_true_mps2,aT_true_mps2,aN_true_mps2,thrust_true_N,spacecraft_mass_kg,is_maneuver
QK1_STK_case_0001,23220.000000,2023-11-25T17:35:00Z,J2000,-4867942.195992956,-4715274.570762515,-653662.156475398,-106.701508322473,1145.417452615993,-7562.755266501093,-4867820.964926553,-4713432.457904603,-664090.430493946,-98.301681861660,1153.566619431449,-7561.701320899303,-121.231066403,-1842.112857912,10428.274018548,10590.419054913,-8.399826460814,-8.149166815456,-1.053945601790,11.750608736974,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23280.000000,2023-11-25T17:36:00Z,J2000,-4863264.407704356,-4635873.994020814,-1105590.955623528,262.547015249500,1500.243874816675,-7495.811281841121,-4862638.163245921,-4633545.872226633,-1115931.965371282,270.974264884870,1508.288417999292,-7493.956758220891,-626.244458435,-2328.121794181,10341.009747754,10618.324529482,-8.427249635370,-8.044543182617,-1.854523620230,11.797138182281,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23340.000000,2023-11-25T17:37:00Z,J2000,-4836463.164112411,-4535384.395631055,-1552476.095366542,630.465350605852,1848.116972122266,-7394.701844949355,-4835331.468559537,-4532577.722562713,-1562681.907683839,638.879757081603,1856.017650045486,-7392.050797979521,-1131.695552874,-2806.673068343,10205.812317297,10645.034222249,-8.414406475751,-7.900677923220,-2.651046969834,11.842761418769,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23400.000000,2023-11-25T17:38:00Z,J2000,-4787668.856322164,-4414270.818210884,-1992281.568430494,995.369726870386,2187.448446986700,-7259.917169956009,-4786033.687344992,-4410995.385883903,-2002304.613289651,1003.731085054345,2195.166724745810,-7256.477631551267,-1635.168977172,-3275.432326980,10023.044859157,10670.691765823,-8.361358183959,-7.718277759110,-3.439538404741,11.887579513295,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23460.000000,2023-11-25T17:39:00Z,J2000,-4717112.422831326,-4273092.362027046,-2423005.467104778,1355.593641863587,2516.692592471693,-7092.103137802083,-4714978.163206793,-4269360.248422641,-2432798.773158919,1363.862012287303,2524.190834484594,-7087.887020673758,-2134.259624532,-3732.113604405,9793.306054141,10695.446674692,-8.268370423716,-7.498242012900,-4.216117128324,11.931690005509,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23520.000000,2023-11-25T17:40:00Z,J2000,-4625124.078301655,-4112499.403466107,-2842689.219286912,1709.495715997127,2834.353845846639,-6892.057748254682,-4622497.494357600,-4108324.912842996,-2852206.644474804,1717.631630885608,2841.595519440968,-6887.080764918979,-2626.583944056,-4174.490623111,9517.425187892,10719.454155167,-8.135914888480,-7.241673594329,-4.976983335704,11.975195641127,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23580.000000,2023-11-25T17:41:00Z,J2000,-4512131.562851082,-3933230.358936810,-3249426.585869255,2055.467872259693,3138.994332138716,-6660.726524200809,-4509021.769038474,-3928629.949382018,-3258623.041226688,2063.432559224549,3145.944199158298,-6655.008032605780,-3109.793812608,-4600.409554791,9196.455357433,10742.875628527,-7.964686964856,-6.949867019582,-5.718491595029,12.018237647860,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23640.000000,2023-11-25T17:42:00Z,J2000,-4378657.899853046,-3736108.014067841,-3641372.332241721,2391.943331460187,3429.240633737933,-6399.196279314039,-4375076.311522367,-3731100.215393695,-3650203.995232784,2399.698892882473,3435.864897627352,-6392.759111763963,-3581.588330679,-5007.798674146,8831.662991063,10765.876356291,-7.755561422286,-6.624263889419,-6.437167550076,12.060958963502,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23700.000000,2023-11-25T17:43:00Z,J2000,-4225318.703411723,-3522035.484712242,-4016750.496543017,2717.403589364527,3703.789340704769,-6108.688144018241,-4221278.979436185,-3516640.807965685,-4025175.014707733,2724.913169060787,3710.055781041835,-6101.558441478755,-4039.723975538,-5394.676746557,8424.518164716,10788.624254557,-7.509579696260,-6.266440337066,-7.129702539485,12.103500320735,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23760.000000,2023-11-25T17:44:00Z,J2000,-4052819.094217092,-3291991.868109139,-4373862.245604250,3030.384611732554,3961.411962450504,-5790.550846777184,-4048337.069642480,-3286232.707177899,-4381838.929798113,3037.612549182830,3967.290054551930,-5782.757878868736,-4482.024574611,-5759.160931240,7976.684193864,10811.288991049,-7.227937450276,-5.878092101426,-7.792967908448,12.146003266921,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23820.000000,2023-11-25T17:45:00Z,J2000,-3861950.248444332,-3047027.600917574,-4711093.331507744,3329.482934457636,4200.959819266671,-5446.253999538578,-3857043.858665458,-3040928.127649363,-4718583.338163428,3336.394899140959,4206.420839605453,-5437.829991158485,-4906.389778874,-6099.473268212,7490.006655684,10834.040544232,-6.911964683323,-5.461020338783,-8.424008380092,12.188597791049,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23880.000000,2023-11-25T17:46:00Z,J2000,-3653585.582229226,-2788259.528009025,-5026921.125059553,3613.361645227345,4421.368714046828,-5077.380638748441,-3648274.779232379,-2781845.580977819,-5033887.628452515,3619.924777176846,4426.385849978386,-5068.360590266845,-5310.802996847,-6413.947031207,6966.503392961,10857.049070285,-6.563131949500,-5.017135931558,-9.020048481595,12.231419727595,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,23940.000000,2023-11-25T17:47:00Z,J2000,-3428676.595668905,-2516865.710964452,-5319921.181071040,3880.755669998116,4621.662881938579,-4685.619175548594,-3422983.255701642,-2510164.678004335,-5326329.533192380,3886.938691422259,4626.211305279721,-4676.040643428187,-5693.339967263,-6701.032960118,6408.352121340,10880.484347054,-6.183021424143,-4.548423341142,-9.578532120408,12.274615529757,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,24000.000000,2023-11-25T17:48:00Z,J2000,-3188248.421902666,-2234080.018854718,-5588773.323534743,4130.476397381207,4800.958393042158,-4272.755581875713,-3182196.248648439,-2227120.716636815,-5594591.202446397,4136.249697058360,4805.015325682758,-4262.658526138515,-6052.173254227,-6959.302217903,5817.878911655,10904.512987290,-5.773299677153,-4.056932640601,-10.097055737198,12.318288280953,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
QK1_STK_case_0001,24060.000000,2023-11-25T17:49:00Z,J2000,-2933395.097587944,-1941186.514421757,-5832267.269555526,4361.416523219531,4958.466663193584,-3840.665621125789,-2927009.518044546,-1933999.062388959,-5837464.818460888,4366.752287529742,4962.011466072539,-3830.092207160561,-6385.579543398,-7187.452032798,5197.548905363,10929.300410020,-5.335764310211,-3.544802878955,-10.573413965229,12.362568143588,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,199.995594874473,0
